variable,2.5%,25%,50%,75%,97.5%,rhat,ess_bulk,ess_tail,cohort,age,year,S
"S4[105,4]",1.4688669999999999e-8,6.5961575e-8,1.14341e-7,1.7809375e-7,3.6998704999999935e-7,1.000301332114673,5360.302478986635,5310.390088885446,2005,3,2008,S4
"S4[106,4]",7.200073249999999e-8,2.09507e-7,3.5095e-7,5.596279999999999e-7,1.2612637500000001e-6,1.0003104812797976,5461.8940494917615,5300.81200834473,2006,3,2009,S4
"S4[107,4]",5.07000025e-8,2.396915e-7,4.695725e-7,8.18499e-7,1.977144e-6,0.9999437094402279,5386.713872605919,5161.13755520602,2007,3,2010,S4
"S4[108,4]",1.333249e-7,5.76401e-7,1.03067e-6,1.6726525000000002e-6,3.7662992499999994e-6,1.0005273247930524,5278.379797072885,5268.897066195871,2008,3,2011,S4
"S4[109,4]",2.0200655e-7,8.1037825e-7,1.39674e-6,2.2196725000000003e-6,4.829052249999999e-6,1.0004233756443526,5317.877761949812,5099.006361760109,2009,3,2012,S4
"S4[110,4]",2.4583952499999995e-7,1.0707675e-6,1.91852e-6,3.2157499999999997e-6,7.206690499999999e-6,1.0012538106055051,5236.967451586812,5468.460065205051,2010,3,2013,S4
"S4[111,4]",3.150689e-7,1.12651e-6,1.86608e-6,2.8710925e-6,5.827180999999996e-6,1.0020203879831886,5334.315235299497,5270.981357837004,2011,3,2014,S4
"S4[96,5]",1.7967597500000002e-7,7.19459e-7,1.294125e-6,2.1237499999999998e-6,4.926192999999999e-6,1.0007598323129479,5473.657303920831,5514.055615081691,1996,4,2000,S4
"S4[97,5]",8.2742305e-8,3.047685e-7,5.431679999999999e-7,9.163632500000001e-7,2.1395472499999997e-6,1.0007084402701618,5485.029616905084,5504.178880502804,1997,4,2001,S4
"S4[98,5]",3.0159435e-8,1.33416e-7,2.502365e-7,4.2624225e-7,1.0456727499999992e-6,0.9996237878589501,5602.954423768519,5428.37306576166,1998,4,2002,S4
"S4[99,5]",7.63788275e-9,3.54579e-8,7.123195e-8,1.2907525000000002e-7,3.4957787499999974e-7,1.0002869622017128,5832.541361347753,5545.504238226074,1999,4,2003,S4
"S4[100,5]",8.1809465e-9,3.1146299999999996e-8,5.56872e-8,9.38338e-8,2.196981999999999e-7,1.0007546173141075,5142.5146726234025,5141.663050541684,2000,4,2004,S4
"S4[101,5]",1.5719114999999998e-7,4.5838525e-7,7.041745e-7,1.04043e-6,1.998216499999999e-6,1.0003179418917059,5574.421838339536,5559.878026630368,2001,4,2005,S4
"S4[102,5]",1.98185575e-7,5.4177875e-7,7.85671e-7,1.10348e-6,1.922157499999998e-6,1.0004115272636438,5640.07365799529,5430.481516761403,2002,4,2006,S4
"S4[103,5]",2.501188e-7,6.8937625e-7,1.02001e-6,1.42944e-6,2.5500404999999993e-6,1.0005909181345365,5624.600056271312,5190.824814111302,2003,4,2007,S4
"S4[104,5]",1.1331382499999999e-7,3.3117774999999997e-7,5.032035e-7,7.320295e-7,1.3797772499999997e-6,1.0008163511778594,5620.984526651192,5500.831696941428,2004,4,2008,S4
"S4[105,5]",3.152882e-7,7.368599999999999e-7,1.121365e-6,1.6683949999999998e-6,3.2506404999999977e-6,1.0002729277003903,5288.218001022454,5653.511841327714,2005,4,2009,S4
"S4[106,5]",5.4902815e-7,1.2701e-6,1.898505e-6,2.80899e-6,5.496935999999994e-6,0.9999147567622898,5393.407444627126,5600.084970270671,2006,4,2010,S4
"S4[107,5]",4.4216615e-7,1.643965e-6,2.79825e-6,4.45596e-6,9.779543e-6,1.000887985705427,5247.603598838148,5411.877713880689,2007,4,2011,S4
"S4[108,5]",2.31807775e-7,8.5557475e-7,1.4573949999999999e-6,2.31195e-6,4.9886944999999985e-6,1.0000528377920856,5303.393095915916,5147.190213850566,2008,4,2012,S4
"S4[109,5]",9.603758e-7,3.185095e-6,5.319935e-6,8.203475e-6,1.7271482499999987e-5,1.0006379092756914,5117.8798526705605,5264.635348762839,2009,4,2013,S4
"S4[110,5]",9.929692749999999e-7,3.2785225e-6,5.2156449999999994e-6,7.864185e-6,1.5677512499999998e-5,1.0009585674283177,5286.3951161885425,5479.3147213686325,2010,4,2014,S4
"S4[95,6]",8.071335249999999e-7,2.7812875e-6,4.872735000000001e-6,7.74547e-6,1.6743414999999984e-5,1.0001067469942868,5488.036369238624,5458.217913101913,1995,5,2000,S4
"S4[96,6]",4.3863192500000005e-7,1.394075e-6,2.26968e-6,3.5750925e-6,7.697322249999989e-6,1.0001834945088093,5487.80655024809,5429.702912896284,1996,5,2001,S4
"S4[97,6]",1.5957140000000001e-7,5.115330000000001e-7,8.605585e-7,1.3742875e-6,3.0132124999999994e-6,1.0003804264819474,5522.043238233976,5576.595572297867,1997,5,2002,S4
"S4[98,6]",8.805299749999999e-8,2.8942175e-7,4.84509e-7,7.5898725e-7,1.6674414999999997e-6,0.9996946332204788,5627.222406832802,5273.346689603459,1998,5,2003,S4
"S4[99,6]",5.3978667499999995e-8,1.8283974999999998e-7,3.0487700000000004e-7,4.8386625e-7,1.0682819999999997e-6,1.0007593637427141,5476.165334456954,5509.089349673556,1999,5,2004,S4
"S4[100,6]",1.7496162499999997e-7,4.889355e-7,7.44375e-7,1.09219e-6,2.0938417499999985e-6,1.000297971350579,5562.054759234218,5559.870667797085,2000,5,2005,S4
"S4[101,6]",4.7369522499999995e-7,1.2260225e-6,1.766955e-6,2.4892925e-6,4.371134249999998e-6,1.0005364401747638,5632.745323645677,5419.057300066221,2001,5,2006,S4
"S4[102,6]",5.630565249999999e-7,1.4781999999999999e-6,2.151745e-6,2.9935000000000002e-6,5.23509225e-6,1.000361779885715,5509.924733909345,5512.777649227408,2002,5,2007,S4
"S4[103,6]",2.6740767499999997e-7,7.19292e-7,1.059395e-6,1.4846875e-6,2.637657499999999e-6,1.000487612409163,5643.991081260009,5162.994041731322,2003,5,2008,S4
"S4[104,6]",1.0192417500000002e-6,2.1067249999999997e-6,3.016175e-6,4.3356325e-6,8.073180249999999e-6,1.0006722531252614,5480.857764318773,5442.043256310816,2004,5,2009,S4
"S4[105,6]",1.7168210000000002e-6,3.4748125e-6,4.82885e-6,6.667775e-6,1.1429927499999992e-5,0.9995190109049689,5335.888182572403,5326.2264622377015,2005,5,2010,S4
"S4[106,6]",2.39835575e-6,5.3120999999999995e-6,7.79627e-6,1.1173174999999998e-5,2.1427282499999982e-5,1.0003274999885485,5203.397084165406,5554.769586158359,2006,5,2011,S4
"S4[107,6]",7.310304e-7,2.3302775e-6,3.832335e-6,5.962270000000001e-6,1.2623309999999982e-5,1.0001022104845227,5280.074849062747,5238.77879208553,2007,5,2012,S4
"S4[108,6]",1.0280865e-6,3.3083e-6,5.511955e-6,8.468475e-6,1.768131749999999e-5,1.0005148182995829,5117.749360338375,5226.5699982112,2008,5,2013,S4
"S4[109,6]",2.7354864999999996e-6,7.4810225e-6,1.1402749999999999e-5,1.6665775e-5,3.2508055e-5,1.0003172653329857,5235.046716077401,5350.644364067315,2009,5,2014,S4
