state,Year,Age,severe,numcase
27,2008,32,Severe,3
27,2008,33,Mild,98
27,2008,33,Severe,3
27,2008,34,Mild,136
27,2008,34,Severe,1
27,2008,35,Mild,118
27,2008,35,Severe,2
27,2008,36,Mild,93
27,2008,36,Severe,4
27,2008,37,Mild,109
27,2008,37,Severe,1
27,2008,38,Mild,113
27,2008,38,Severe,1
27,2008,39,Mild,100
27,2008,40,Mild,102
27,2008,40,Severe,2
27,2008,41,Mild,90
27,2008,41,Severe,1
27,2008,42,Mild,72
27,2008,42,Severe,1
27,2008,43,Mild,90
27,2008,43,Severe,4
27,2008,44,Mild,104
27,2008,45,Mild,78
27,2008,46,Mild,72
27,2008,46,Severe,1
27,2008,47,Mild,52
27,2008,47,Severe,4
27,2008,48,Mild,105
27,2008,48,Severe,1
27,2008,49,Mild,66
27,2008,49,Severe,1
27,2008,50,Mild,58
27,2008,50,Severe,1
27,2008,51,Mild,33
27,2008,51,Severe,1
27,2008,52,Mild,66
27,2008,53,Mild,75
27,2008,54,Mild,39
27,2008,54,Severe,1
27,2008,55,Mild,40
27,2008,55,Severe,1
27,2008,56,Mild,48
27,2008,56,Severe,3
27,2008,57,Mild,94
27,2008,58,Mild,40
27,2008,59,Mild,17
27,2008,60,Mild,30
27,2008,60,Severe,1
27,2008,61,Mild,47
27,2008,61,Severe,2
27,2008,62,Mild,25
27,2008,62,Severe,2
27,2008,63,Mild,19
27,2008,63,Severe,2
27,2008,64,Mild,25
27,2008,64,Severe,1
27,2008,65,Mild,12
27,2008,65,Severe,2
27,2008,66,Mild,17
27,2008,66,Severe,1
27,2008,67,Mild,15
27,2008,68,Mild,21
27,2008,69,Mild,11
27,2008,70,Mild,7
27,2008,71,Mild,6
27,2008,71,Severe,1
27,2008,72,Mild,13
27,2008,73,Mild,7
27,2008,74,Mild,8
27,2008,75,Mild,7
27,2008,76,Mild,7
27,2008,76,Severe,1
27,2008,77,Mild,6
27,2008,78,Mild,13
27,2008,79,Mild,4
27,2008,79,Severe,1
27,2008,80,Mild,1
27,2008,81,Mild,1
27,2008,82,Mild,3
27,2008,83,Mild,3
27,2008,84,Mild,3
27,2008,85,Mild,3
27,2008,86,Mild,1
27,2008,87,Mild,5
27,2008,88,Mild,1
27,2008,89,Mild,3
27,2008,91,Mild,1
27,2008,93,Mild,1
27,2008,96,Mild,1
27,2009,1,Mild,1
27,2009,2,Mild,33
27,2009,3,Mild,41
27,2009,3,Severe,1
27,2009,4,Mild,26
27,2009,4,Severe,1
27,2009,5,Mild,27
27,2009,6,Mild,32
27,2009,7,Mild,37
27,2009,7,Severe,3
27,2009,8,Mild,46
27,2009,8,Severe,2
27,2009,9,Mild,48
27,2009,10,Mild,67
27,2009,10,Severe,1
27,2009,11,Mild,44
27,2009,11,Severe,2
27,2009,12,Mild,50
27,2009,12,Severe,4
27,2009,13,Mild,75
27,2009,13,Severe,2
27,2009,14,Mild,111
27,2009,14,Severe,1
27,2009,15,Mild,62
27,2009,15,Severe,1
27,2009,16,Mild,51
27,2009,16,Severe,1
27,2009,17,Mild,55
27,2009,17,Severe,3
27,2009,18,Mild,60
27,2009,19,Mild,68
27,2009,19,Severe,4
27,2009,20,Mild,80
27,2009,20,Severe,1
27,2009,21,Mild,70
27,2009,22,Mild,103
27,2009,22,Severe,3
