state,year,age,numpop
35,2016,93,40368
35,2016,94,40199
35,2016,95,41066
35,2016,96,42374
35,2016,97,43322
35,2016,98,43110
35,2016,99,41171
35,2017,90,49431
35,2017,91,46834
35,2017,92,44337
35,2017,93,42887
35,2017,94,42863
35,2017,95,43725
35,2017,96,45167
35,2017,97,46285
35,2017,98,46161
35,2017,99,44132
35,2018,90,50736
35,2018,91,48590
35,2018,92,46559
35,2018,93,45452
35,2018,94,45547
35,2018,95,46641
35,2018,96,48191
35,2018,97,49362
35,2018,98,49173
35,2018,99,46991
35,2019,90,51204
35,2019,91,49737
35,2019,92,48334
35,2019,93,47787
35,2019,94,48045
35,2019,95,49213
35,2019,96,50697
35,2019,97,51741
35,2019,98,51225
35,2019,99,48992
35,2020,90,51310
35,2020,91,50368
35,2020,92,49513
35,2020,93,49229
35,2020,94,49755
35,2020,95,50758
35,2020,96,51964
35,2020,97,52628
35,2020,98,52008
35,2020,99,49441
35,2021,90,51493
35,2021,91,50864
35,2021,92,50379
35,2021,93,50068
35,2021,94,50350
35,2021,95,51002
35,2021,96,51613
35,2021,97,51574
35,2021,98,50692
35,2021,99,48023
35,2010,0,592410
35,2011,0,598451
35,2012,0,605878
35,2013,0,606173
35,2014,0,610566
35,2015,0,624536
35,2016,0,614686
35,2017,0,604949
35,2018,0,610238
35,2019,0,606598
35,2020,0,602620
35,2021,0,598256
35,2022,0,593254
35,2023,0,587690
35,2024,0,582051
35,2025,0,576550
35,2026,0,571217
35,2027,0,566045
35,2028,0,561048
35,2029,0,556289
35,2030,0,551886
35,2031,0,547712
35,2032,0,543645
35,2033,0,539842
35,2034,0,536302
35,2035,0,533011
35,2036,0,529808
35,2037,0,526652
35,2038,0,523745
35,2039,0,520997
35,2040,0,518341
35,2041,0,515752
35,2042,0,513378
35,2043,0,511280
35,2044,0,509195
35,2045,0,507020
35,2046,0,504788
35,2047,0,502602
35,2048,0,500452
35,2049,0,498165
35,2050,0,495600
35,2051,0,492864
35,2052,0,490113
35,2053,0,487255
35,2054,0,484223
35,2055,0,480958
35,2056,0,477583
35,2057,0,474291
35,2058,0,470979
35,2059,0,467608
35,2060,0,464209
35,2010,1,592204
35,2011,1,591949
35,2012,1,598011
35,2013,1,605466
35,2014,1,605784
35,2015,1,610194
35,2016,1,624183
35,2017,1,614361
35,2018,1,604652
35,2019,1,609955
35,2020,1,606336
35,2021,1,602377
35,2022,1,598030
35,2023,1,593045
35,2024,1,587494
35,2025,1,581868
35,2026,1,576382
35,2027,1,571062
35,2028,1,565899
35,2029,1,560912
35,2030,1,556158
35,2031,1,551766
35,2032,1,547603
35,2033,1,543549
35,2034,1,539752
35,2035,1,536224
35,2036,1,532940
35,2037,1,529746
35,2038,1,526598
35,2039,1,523696
35,2040,1,520957
35,2041,1,518306
35,2042,1,515721
35,2043,1,513356
35,2044,1,511261
35,2045,1,509179
35,2046,1,507011
35,2047,1,504782
35,2048,1,502600
35,2049,1,500454
35,2050,1,498171
35,2051,1,495609
35,2052,1,492877
35,2053,1,490129
35,2054,1,487274
35,2055,1,484244
35,2056,1,480983
35,2057,1,477614
35,2058,1,474324
35,2059,1,471015
35,2060,1,467646
35,2010,2,590217
35,2011,2,592162
35,2012,2,591918
35,2013,2,597986
35,2014,2,605448
35,2015,2,605773
35,2016,2,610189
35,2017,2,624179
35,2018,2,614366
35,2019,2,604667
35,2020,2,609971
35,2021,2,606358
35,2022,2,602404
35,2023,2,598063
35,2024,2,593080
35,2025,2,587533
35,2026,2,581910
35,2027,2,576429
35,2028,2,571113
35,2029,2,565952
35,2030,2,560966
35,2031,2,556214
35,2032,2,551829
35,2033,2,547670
35,2034,2,543620
35,2035,2,539827
35,2036,2,536305
35,2037,2,533026
35,2038,2,529836
35,2039,2,526688
35,2040,2,523791
35,2041,2,521057
35,2042,2,518406
35,2043,2,515824
35,2044,2,513465
35,2045,2,511370
35,2046,2,509291
35,2047,2,507125
35,2048,2,504896
35,2049,2,502716
35,2050,2,500573
35,2051,2,498293
35,2052,2,495731
35,2053,2,493001
35,2054,2,490254
35,2055,2,487399
35,2056,2,484370
35,2057,2,481113
35,2058,2,477748
35,2059,2,474458
35,2060,2,471151
35,2010,3,591062
35,2011,3,590319
35,2012,3,592268
35,2013,3,592028
35,2014,3,598099
35,2015,3,605561
35,2016,3,605890
35,2017,3,610307
35,2018,3,624292
35,2019,3,614485
35,2020,3,604790
35,2021,3,610095
35,2022,3,606482
35,2023,3,602528
35,2024,3,598188
35,2025,3,593204
35,2026,3,587657
35,2027,3,582036
35,2028,3,576554
35,2029,3,571238
35,2030,3,566074
35,2031,3,561090
35,2032,3,556343
35,2033,3,551960
35,2034,3,547805
35,2035,3,543756
35,2036,3,539967
35,2037,3,536447
35,2038,3,533172
35,2039,3,529983
35,2040,3,526837
35,2041,3,523943
35,2042,3,521210
35,2043,3,518562
35,2044,3,515983
35,2045,3,513624
35,2046,3,511530
35,2047,3,509452
35,2048,3,507286
35,2049,3,505059
35,2050,3,502880
35,2051,3,500738
35,2052,3,498462
35,2053,3,495900
35,2054,3,493169
35,2055,3,490424
